ORIG_PRODUCT_DESCRIPTION,PRICE,Num_of_Items
Happy Hour,-0.31,82180
Med Tater To,1.89,77894
Med Fries,1.89,69621
Mustard,0.0,63059
Ketchup,0.0,59068
Mayo,0.0,58210
Chz Burger,4.39,57671
Chz Brg Cmb,0.0,41053
Med Coke,1.89,37334
50% Shk @ 8,-0.5,36092
Corn Dog,1.49,35514
"12"" CC Cny",3.99,33843
SS Dbl Chz,5.49,33836
Onions,0.0,33743
Strawberry,0.5,33595
Med Onion Ri,2.49,32427
SS Dbl BacCh,5.99,31383
Cherry,0.1,29392
SS Dbl Ch Cm,0.0,27593
SS Dbl BC Cm,0.0,26916
Med Tots,1.89,26122
RCC,1.99,25730
Wp Toy w/ Pu,0.0,23720
Vanilla,0.5,22171
"12"" CC Cny C",0.0,21500
Tomato,0.0,21376
Med Chry Lim,2.19,20831
Med Dr Peppe,1.89,20452
Sm Fries,1.19,19583
Lg Coke,2.49,19262
See Operator,0.0,18563
Med Sprite,1.89,18103
Sm Tater Tot,1.19,17352
Pickles,0.0,17033
Lg Tater Tot,2.39,16961
Med Mozz Sti,3.69,16300
Easy Ice,0.0,15713
Med Pop Chk,3.99,15197
Lg Fries,2.39,14120
Lg Chry Lime,2.79,13696
Sm Mozz Stic,2.89,13685
Wp Chk Strp,3.89,13236
Wp Corn Dog,3.49,13014
Ice,0.0,12655
Med Ocean Wa,1.99,12585
Lg Dr Pepper,2.49,12201
Pop Chk Comb,0.0,12039
Grn Chile Ch,4.89,11990
Peach,0.1,11971
Mango,0.1,11939
10am LgDr.99,-0.01,11907
Sm Water,0.1,11534
BW Buffalo (,17.79,11450
Med ChiliChz,3.19,11382
Brk Tst Comb,0.0,11356
Chk Dinner,6.59,11238
Cheese,0.6,11191
Med Lemonade,2.49,11103
Bacon,0.6,10880
Mini Water,0.1,10581
Jr Dlx CB,1.79,10297
Med Slush,2.09,10271
FrnchTstStix,2.59,10167
Rt Unswt Tea,2.79,10088
Chicago Dog,2.49,10006
Bag Ice,2.99,9763
Gr Chl ChzBr,0.0,9644
Ult Meat Chz,3.89,9615
Prem Brto Co,0.0,9399
Ult Chk Dlx,5.99,9396
BacEggChzTst,3.29,9355
Lg Pop Chk,5.19,9178
SS Jal Dbl C,5.99,9154
Lettuce,0.0,9132
$5 Boom Box,5.0,9058
HH CornDog,-0.5,8927
Chk Dinner C,0.0,8923
Med Stw Shk,3.89,8834
Med Cherry S,2.19,8793
Lemon,0.3,8790
Rt Chry Lime,2.99,8759
Grill Chz,1.49,8643
Lime,0.3,8623
SausEggChz B,2.69,8471
Prem Dog Com,0.0,8398
Med Stw Frt,2.29,8304
Croissonic C,0.0,8243
Lg Mozz Stic,4.29,8224
Chk Strp Snd,1.49,8195
Wtrmln,0.1,8164
Rt Coke,2.79,8136
Lg Ocean Wat,2.59,8048
No Ice,0.0,7858
Lg Unswt Tea,2.49,7803
Pnapp,0.5,7791
Lg Onion Rin,2.99,7765
Amer Dog,1.99,7751
Med Ched R P,3.99,7708
Med Choc Shk,3.89,7601
Med OJ,2.19,7595
SS Jal DblCh,0.0,7576
Crispy Chk S,4.69,7504
Whip Topping,0.5,7474
Med Dt Coke,1.89,7473
Chk Sand Com,0.0,7352
Wp Burger Cm,3.49,7347
Extra Ice,0.0,7318
SausEggChz C,3.29,7277
Lg Dt Coke,2.49,7237
Lg ChiliChz,3.69,7219
Asiago Clb C,0.0,7098
BW Hny BBQ (,17.79,7061
Med Stw Lime,2.29,7023
Med Sweet Te,1.89,6979
SS Brkfst Bu,3.89,6928
Lg Sweet Tea,2.49,6808
Med Root Bee,1.89,6798
Rasp,0.1,6753
Empl Disc,0.0,6689
BacEggChz Bu,2.69,6673
Jr Dbl Chz B,2.29,6663
Grn Chiles,0.6,6528
Stk Egg Burr,3.89,6521
Jalapeno,0.6,6270
Wp Burger,3.49,6257
Med Water,0.2,6251
NY Dog,2.29,6176
Med Blue Rsp,2.19,6161
SausEggChzTs,3.29,6105
Brk Br Combo,0.0,6020
Blue Rasp,0.1,5993
Lg Water,0.3,5890
Rt Dr Pepper,2.79,5865
Med Unswt Te,1.89,5858
Sm Tots,1.19,5855
Sm Ched R Pe,3.19,5825
Lg Stw Frt S,2.69,5649
Lg Tots,2.39,5593
"6"" Plain",1.99,5586
Sm Onion Rin,1.99,5503
Apple Juice,0.99,5434
Lg Slush,2.59,5433
Wp Grlld Chz,3.49,5336
Rt Cup Ice,0.4,5285
Rt Sweet Tea,2.79,5261
Wing Cmb,0.0,5232
Lg Cup Ice,0.3,5185
Lg Sprite,2.49,5181
Lg Stw Limea,2.79,5181
Cone,1.09,5099
Med Wtrmln S,2.19,5097
Jr Deluxe Ch,1.79,5064
Jr Brkfst Br,1.29,4970
Rt Dt Coke,2.79,4913
Sm Stw Shk,2.99,4845
Real Cherry,0.5,4835
Rt Ocean Wat,2.89,4830
Med Frz Lemo,2.59,4711
Banana,0.5,4677
Grape,0.1,4650
Rt Water,0.4,4641
MedChiliCh F,3.19,4632
Chocolate,0.5,4623
